id,chinese,pinyin,english,priority,quality,word1,word1_english,word2,word2_english,word3,word3_english,word4,word4_english,sentence,sentence_pinyin,sentence_english
1,阿姨,ā yí,aunt;mother’s sister,1,,-,,,,,,,,阿姨帮我照顾孩子,ā yí bāng wǒ zhào gù hái zi,Auntie helps me take care of the child
2,爸爸,bà ba,dad,1,,-,,,,,,,,爸爸今天很早就出门了。,bàba jīntiān hěn zǎo jiù chūmén le.,Dad left home very early today.
3,白,bái,white,1,,-,,,,,,,,墙面刷成白色显得很干净,qiáng miàn shuā chéng bái sè xiǎn de hěn gān jìng,The wall looks clean painted white
4,百分之,bǎi fēn zhī,percent,1,2,百,one hundred,分,part,之一,one of,,,这件衣服打了百分之五十的折,zhè jiàn yī fú dǎ le bǎi fēn zhī wǔ shí de zhé,this clothing is fifty percent off
5,白色,bái sè,white,1,,-,,,,,,,,她穿着一条白色的裙子。,tā chuān zhe yī tiáo bái sè de qún zi.,She is wearing a white dress.
6,包括,bāo ​kuò,to include,1,,-,,,,,,,,这次旅行费用包括机票和酒店,Zhè cì lǚxíng fèiyòng bāokuò jīpiào hé jiǔdiàn,The travel cost this time includes flights and hotels
7,保险,bǎo xiǎn,insurance,1,1,保护,protect,危险,danger,,,,,没有保险看病很贵,Méiyǒu bǎoxiǎn kànbìng hěn guì,It is expensive to see a doctor without insurance
8,北京,Běijīng,Beijing,1,1,北,north,京,capital city,,,,,北京有许多历史古迹比如故宫,Běijīng yǒu xǔ duō lì shǐ gǔ jì bǐ rú gù gōng,Beijing has many historic sites such as the Forbidden City
9,本地,běn dì,local,1,2,本来,original,地,land,,,,,我更喜欢买本地水果,Wǒ gèng xǐhuān mǎi běndì shuǐguǒ,I prefer to buy local fruit
10,笔,bǐ,pen,1,,-,,,,,,,,我忘了带笔,wǒ wàng le dài bǐ,I forgot to bring a pen
11,比如说,bǐ rú shuō,for example,1,3,比,to compare,如,like,说,say,,,比如说苹果香蕉和葡萄,bǐ rú shuō píng guǒ xiāng jiāo hé pú táo,for example apples bananas and grapes
12,毕业,bì yè,graduate,1,2,毕,end,作业,homework,,,,,她去年大学毕业,tā qù nián dà xué bì yè,she graduated from university last year
13,便利店,biàn lì diàn,convenience store,1,4,便利,convenient,店,store,,,,,我在便利店买了水,wǒ zài biàn lì diàn mǎi le shuǐ,i bought water at the convenience store
14,表情,biǎo qíng,(facial) expression,1,2,表,show,情,feeling,,,,,她的表情很可爱,Tā de biǎoqíng hěn kě'ài,Her expression is cute
15,表情包,biǎo qíng bāo,emoji;emoticon;meme,1,2,表,show,情,feeling,包,bundle,,,这个表情包很搞笑,Zhège biǎoqíngbāo hěn gǎoxiào,This sticker is funny
16,标准,biāo zhǔn,standard,1,3,目标,target,准备,preparation,,,,,这家店的服务很标准,Zhè jiā diàn de fúwù hěn biāozhǔn,The service here is very standard
17,病人,bìng rén,patient,1,2,病,illness,人,person,,,,,医院里有很多病人,Yīyuàn lǐ yǒu hěn duō bìngrén,There are many patients in the hospital
18,冰箱,bīng xiāng,refrigerator,1,2,冰,ice,箱,box,,,,,冰箱里有很多水果,bīng xiāng lǐ yǒu hěn duō shuǐ guǒ,there are many fruits in the refrigerator
19,博主,bó zhǔ,blogger;vlogger,1,3,博士,PhD,主,owner,,,,,我关注了一个美食博主,Wǒ guānzhù le yīgè měishí bózhǔ,I follow a food blogger
20,不小心,bù xiǎo xīn,accidentally,1,2,不,not,小心,careful,,,,,我不小心把水洒在桌子上了,Wǒ bù xiǎoxīn bǎ shuǐ sǎ zài zhuōzi shàng le,I accidentally spilled water on the table
21,不在乎,bù zài hū,don't care,1,4,不,not,在,at,几乎,almost,,,我不在乎别人怎么说,Wǒ bù zàihu biérén zěnme shuō,I don't care what others say
22,菜单,cài​ dān,menu,1,3,菜,food,单,list,,,,,请给我一份菜单,qǐng gěi wǒ yī fèn cài dān,please give me a menu
23,菜花,cài huā,cauliflower,1,2,菜,vegetable,花,flower,,,,,我家院子里有菜花,Wǒ jiā yuànzi lǐ yǒu càihuā,There are cauliflowers in my yard
24,草莓,cǎo méi,strawberry,1,2,草,grass,莓,berry,,,,,她喜欢草莓味的冰淇淋,tā xǐ huān cǎo méi wèi de bīng qí lín,she likes strawberry flavored ice cream
25,层,céng,layer;floor,1,,-,,,,,,,,我住在五层,Wǒ zhù zài wǔ céng,I live on the fifth floor
26,长城,cháng chéng,The Great Wall,1,3,长,long,城墙,city wall,,,,,第一次站在长城上，我被它的规模震撼了。,"dì yī cì zhàn zài cháng chéng shàng, wǒ bèi tā de guī mó zhèn hàn le","The first time I stood on the Great Wall, I was amazed by its scale."
27,吵架,chǎo jià,to quarrel;fight,1,3,吵,noisy,绑架,to kidnap,,,,,他们又吵架了,Tāmen yòu chǎojià le,They argued again
28,衬衫,chèn shān,shirt,1,,-,,,,,,,,他今天穿了一件蓝色衬衫,tā jīn tiān chuān le yí jiàn lán sè chèn shān,He wore a blue shirt today
29,橙,chéng,orange,1,,-,,,,,,,,橙色的灯光很温暖,chéng sè de dēng guāng hěn wēn nuǎn,Orange light feels warm
30,程序,chéng xù,program (computer),1,2,过程,process,秩序,orderly,,,,,这个程序运行得很慢,Zhège chéngxù yùnxíng de hěn màn,This program runs very slowly
31,程序员,chéng xù yuán,programmer,1,2,工程,engineering,序,sequence,员,worker,,,我朋友是程序员,Wǒ péngyǒu shì chéngxùyuán,My friend is a programmer
32,成语,chéng yǔ,idiom,1,3,成,to succeed,语,language,,,,,他喜欢用成语说话,Tā xǐhuān yòng chéngyǔ shuōhuà,He likes speaking with idioms
33,吃饱,chī bǎo,to be full from eating,1,,-,,,,,,,,我已经吃饱了谢谢,wǒ yǐ jīng chī bǎo le xiè xiè,I’m already full thank you
34,充电宝,chōng diàn bǎo,power bank,1,2,充,to fill,电,electricity,宝,treasure,,,我的充电宝没电了,Wǒ de chōngdiànbǎo méi diàn le,My power bank is out of charge
35,充电器,chōng diàn qì,charger,1,2,充满,full of,电,electricity,器,device,,,我的手机充电器坏了,Wǒ de shǒujī chōngdiànqì huài le,My phone charger is broken
36,出口,chū kǒu,exit;export,1,3,出,to go out,口,opening,,,,,请问出口在哪里,qǐng wèn chū kǒu zài nǎ lǐ,excuse me where is the exit
37,出租车,chū zū chē,taxi,1,2,出,to go out,租,rent,车,car,,,他打了一辆出租车,tā dǎ le yī liàng chū zū chē,he took a taxi
38,床,chuáng,bed,1,,-,,,,,,,,孩子已经在床上睡着了,hái zi yǐ jīng zài chuáng shàng shuì zháo le,the child has already fallen asleep in bed
39,床单,chuáng dān,bed sheet,1,3,床,bed,单,bill;list,,,,,床单需要换了,Chuángdān xūyào huàn le,The bed sheet needs to be changed
40,创业,chuàng yè,entrepreneurship,1,2,创造,to create,企业,company,,,,,他在大学期间就开始创业,Tā zài dàxué qījiān jiù kāishǐ chuàngyè,He started a business during college
41,从不,cóng bù,never,1,3,从来,always,不,not,,,,,我从不喝咖啡,Wǒ cóng bù hē kāfēi,I never drink coffee
42,错误,cuò wù,error,1,,-,,,,,,,,我们从错误中学习,wǒ men cóng cuò wù zhōng xué xí,We learn from mistakes
43,打不开,dǎ bù kāi,cannot open,1,4,打,to beat,不,no,开,open,,,文件打不开,Wénjiàn dǎ bù kāi,The file won’t open
44,打断,dǎ duàn,to interrupt,1,3,打,to hit,断裂,fracture,,,,,别打断我说话,Bié dǎduàn wǒ shuōhuà,Don't interrupt me
45,大陆人,dà lù rén,mainlanders,1,2,大,big,陆,land,人,people,,,他是大陆人,Tā shì dàlù rén,He is from mainland China
46,打喷嚏,dǎ pēn tì,to sneeze,1,,-,,,,,,,,我刚才打了一个喷嚏,wǒ gāng cái dǎ le yī gè pēn tì,i just sneezed
